deliverable_id,title,output_class,depends_on,recommended_profile,workflow_phase,work_unit_type,start_gate_ids,accept_gate_ids,release_gate_ids,required_portals,required_oracle_suite_id,verification_mode_default,required_evidence_bundle_kinds,budgets_default,stop_triggers_overrides,notes
D-01,Governance hygiene patchset for instance-1 build,record,,STRICT-DOCS,P0-FOUNDATION,governance.revision,"G-00,G-GOV-START","G-DOC-COHERENT,G-SCHEMA-VALID",G-GOV-RELEASE,"GovernanceChangePortal,ReleaseApprovalPortal",SR-SUITE-DOCS,STRICT,"schema_validation,coherence_audit","iterations:3;time:2h;cost:$20",,Conditional on governance gaps identified
D-02,Repository scaffold and workspace layout,candidate,,STRICT-CORE,P0-FOUNDATION,code.infra,G-00,"G-BUILD-PASS,G-LINT-PASS",G-PHASE-0-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-CORE,STRICT,"build_log,lint_report","iterations:5;time:4h;cost:$50",,Foundation for all other deliverables
D-03,Continuous integration baseline (build/test/lint),candidate,D-02,STRICT-CORE,P0-FOUNDATION,code.infra,"G-00,G-DEP-READY","G-BUILD-PASS,G-UNIT-PASS,G-LINT-PASS",G-PHASE-0-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-CORE,STRICT,"build_log,test_report,lint_report","iterations:5;time:4h;cost:$50",,CI must be green before Phase 1
D-04,"Local developer tooling (scripts, dev env bootstrap)",candidate,D-02,STRICT-CORE,P0-FOUNDATION,code.infra,"G-00,G-DEP-READY","G-BUILD-PASS,G-LINT-PASS",G-PHASE-0-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-CORE,STRICT,"build_log,lint_report","iterations:5;time:4h;cost:$50",,Developer experience tooling
D-05,Domain model primitives and invariants,candidate,D-02,STRICT-CORE,P1-DOMAIN-CORE,code.domain,"G-00,G-DEP-READY,G-PHASE-0-COMPLETE","G-BUILD-PASS,G-UNIT-PASS,G-LINT-PASS,G-SCHEMA-VALID",G-DOMAIN-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-CORE,STRICT,"build_log,test_report,lint_report,property_test_report","iterations:5;time:4h;cost:$50",,Core domain types; hex purity required
D-06,Deterministic state machines and transition validation,candidate,D-05,STRICT-CORE,P1-DOMAIN-CORE,code.domain,"G-00,G-DEP-READY","G-BUILD-PASS,G-UNIT-PASS,G-LINT-PASS,G-DETERMINISM-PASS",G-DOMAIN-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-CORE,STRICT,"build_log,test_report,lint_report,determinism_proof","iterations:5;time:4h;cost:$50",,State machine determinism is critical
D-07,Ports and boundary interfaces (domain → adapters),candidate,D-05,STRICT-CORE,P1-DOMAIN-CORE,code.domain,"G-00,G-DEP-READY","G-BUILD-PASS,G-UNIT-PASS,G-LINT-PASS,G-HEX-BOUNDARY-PASS",G-DOMAIN-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-CORE,STRICT,"build_log,test_report,lint_report,boundary_audit","iterations:5;time:4h;cost:$50",,Hexagonal port definitions
D-08,Context compilation rules (refs → deterministic context bundle),candidate,"D-06,D-07",STRICT-CORE,P1-DOMAIN-CORE,code.domain,"G-00,G-DEP-READY","G-BUILD-PASS,G-UNIT-PASS,G-LINT-PASS,G-DETERMINISM-PASS,G-CTX-COMPILE-PASS",G-DOMAIN-RELEASE,"ReleaseApprovalPortal,PhaseGatePortal",SR-SUITE-STRICT-CORE,STRICT,"build_log,test_report,lint_report,context_compilation_proof","iterations:5;time:4h;cost:$50",,Critical for C-CTX-* compliance
D-09,"Postgres schemas and migrations (event store, projections, graph)",candidate,D-02,STRICT-CORE,P2-PERSISTENCE,code.persistence,"G-00,G-DEP-READY,G-PHASE-1-COMPLETE","G-BUILD-PASS,G-SCHEMA-VALID,G-MIGRATION-SAFE",G-PERSIST-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-CORE,STRICT,"build_log,schema_validation,migration_log","iterations:5;time:4h;cost:$50",,Event store schema foundation
D-10,EventStore adapter (append-only streams + concurrency control),candidate,"D-07,D-09",STRICT-FULL,P2-PERSISTENCE,code.persistence,"G-00,G-DEP-READY","G-BUILD-PASS,G-UNIT-PASS,G-INTEGRATION-PASS,G-APPEND-ONLY-PASS",G-PERSIST-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-FULL,STRICT,"build_log,test_report,integration_test_report,append_only_proof","iterations:7;time:6h;cost:$75",,"Critical path: C-EVT-2 append-only, C-ARCH-3"
