deliverable_id,title,output_class,depends_on,recommended_profile,workflow_phase,work_unit_type,start_gate_ids,accept_gate_ids,release_gate_ids,required_portals,required_oracle_suite_id,verification_mode_default,required_evidence_bundle_kinds,budgets_default,stop_triggers_overrides,notes
D-01,Governance hygiene patchset for instance-1 build,record,,,PKG-01,governance_intervention_record,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-GOV-COHERENCE,,PORTAL-GOVERNANCE-CHANGE,suite:SR-SUITE-GOV,STRICT,record.intervention_note,"{""max_iterations"":1,""max_oracle_runs"":5,""max_wallclock_hours"":4}",,Conditional: only if governance/type mismatches block implementation; route changes via GovernanceChangePortal.
D-02,Repository scaffold and workspace layout,candidate,,STRICT-CORE,PKG-02,repo_scaffold,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-BUILD-REPRO;G-CI-GREEN,G-ENG-APPROVED,PORTAL-ENG-ACCEPT,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":5,""max_oracle_runs"":25,""max_wallclock_hours"":16}",,
D-03,Continuous integration baseline (build/test/lint),candidate,D-02,STRICT-CORE,PKG-02,ci_substrate,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-BUILD-REPRO;G-CI-GREEN,G-ENG-APPROVED,PORTAL-ENG-ACCEPT,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":5,""max_oracle_runs"":25,""max_wallclock_hours"":16}",,
D-04,"Local developer tooling (scripts, dev env bootstrap)",candidate,D-02,STRICT-CORE,PKG-02,dev_tooling,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-BUILD-REPRO;G-CI-GREEN,G-ENG-APPROVED,PORTAL-ENG-ACCEPT,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":5,""max_oracle_runs"":25,""max_wallclock_hours"":16}",,
D-05,Domain model primitives and invariants,candidate,D-02,STRICT-CORE,PKG-03,domain_core_primitives,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-DOMAIN-PURITY;G-DETERMINISM;G-CTX-COMPILE-DETERMINISTIC,G-ENG-APPROVED,PORTAL-ENG-ACCEPT,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":5,""max_oracle_runs"":25,""max_wallclock_hours"":16}",,
D-06,Deterministic state machines and transition validation,candidate,D-05,STRICT-CORE,PKG-03,domain_core_state_machines,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-DOMAIN-PURITY;G-DETERMINISM;G-CTX-COMPILE-DETERMINISTIC,G-ENG-APPROVED,PORTAL-ENG-ACCEPT,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":5,""max_oracle_runs"":25,""max_wallclock_hours"":16}",,
D-07,Ports and boundary interfaces (domain → adapters),candidate,D-05,STRICT-CORE,PKG-03,domain_ports_and_boundaries,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-DOMAIN-PURITY;G-DETERMINISM;G-CTX-COMPILE-DETERMINISTIC,G-ENG-APPROVED,PORTAL-ENG-ACCEPT,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":5,""max_oracle_runs"":25,""max_wallclock_hours"":16}",,
D-08,Context compilation rules (refs → deterministic context bundle),candidate,"D-06, D-07",STRICT-CORE,PKG-03,context_compilation,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-DOMAIN-PURITY;G-DETERMINISM;G-CTX-COMPILE-DETERMINISTIC,G-ENG-APPROVED,PORTAL-ENG-ACCEPT,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":5,""max_oracle_runs"":25,""max_wallclock_hours"":16}",,
D-09,"Postgres schemas and migrations (event store, projections, graph)",candidate,D-02,STRICT-CORE,PKG-04,persistence_schema,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-EVT-APPENDONLY;G-PROJECTIONS-REBUILDABLE;G-GRAPH-SEMANTICS,G-ENG-APPROVED,PORTAL-ENG-ACCEPT,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":5,""max_oracle_runs"":25,""max_wallclock_hours"":16}",,
D-10,EventStore adapter (append-only streams + concurrency control),candidate,"D-07, D-09",STRICT-CORE,PKG-04,adapter_eventstore,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-EVT-APPENDONLY;G-PROJECTIONS-REBUILDABLE;G-GRAPH-SEMANTICS,G-ENG-APPROVED,PORTAL-ENG-ACCEPT,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":5,""max_oracle_runs"":25,""max_wallclock_hours"":16}",,
